PR_Kennzeichen,PR_Bemerkungen,file_name,file_name_2,Prüfnummer ,Acer (Ahorn),Achillea-Typ (Schafgarben-Typ),Aesculus (Roßkastanie),Ailanthus (Götterbaum),Anemonen/Clematis-Typ*,Apiaceae (Doldenblütler),Arctium (Klette),Artemisia-Typ* (Beifuß-Typ),Asparagaceae (Spargelgewächse),Asparagus (Spargel),Asteraceae (Korbblütler),Aster-Solidago-Typ (Aster-Typ),Balsaminaceae (Springkrautgewächse),Begoniaceae (Schiefblattgewächse),Boraginaceae (Rauhblattgewächse),Borago (Borretsch),Brassicaceae  (Kreuzblütler),Bryonia (Zaunrübe),Buddleja (Schmetterlingsstrauch),Calystegia (Zaunwinde),Caprifoliaceae (Geißblattgewächse),Carduus-Typ (Distel-Typ),Caryophyllaceae (Nelkengewächse),Castanea sativa (Edelkastanie),Centaurea cyanus (Kornblume),Centaurea jacea (Flockenblume),Chenopodiaceae* (Gänsefußgewächse),Chenopodium* Gänsefuß,Cichorium-Typ (Wegwarten-T.),Colchicum (Herbstzeitlose),Convolvulaceae (Winden),Convolvulus (Ackerwinde),Cornus-Typ (Hartriegel-Typ),Dipsacaceae (Kardengewächse),Echinops (Kugeldistel),Echium (Natternkopf),Epilobium (Weidenröschen),Ericaceae (Heidekrautgewächse),Erodium (Reiherschnabel),Eschscholzia* (Goldmohn),Euodia (Bienenbaum),Euphorbiaceae (Wolfsmilchgewächse),Fabaceae (Hülsenfrüchtler),Fagopyrum (Buchweizen),Filipendula* (Mädesüß),Geranium (Storchschnabel),"Gleditsia (Gleditschie, Lederhülsenbaum)",Hedera (Efeu),Helianthus annuus (Sonnenblume),Helianthus-Typ (Sonnenblumen-Typ),Heracleum-Typ (Bärenklau-Typ),Hypericum* (Johanniskraut),Lamiaceae (Lippenblütler),Ligustrum (Rainweide),Liriodendron (Tulpenbaum),Malvaceae (Malvengewächse),Melilotus (Steinklee),Nymphaeaceae* (Seerosengewächse),Onagraceae (Nachtkerzengewächse),Papaver-Typ* (Mohn-Typ),Parthenocissus (Wilder Wein),Phacelia (Büschelschön),Pinus* (Kiefer),Plantaginaceae (Wegerichgewächse),Poaceae*  (Süßgräser),Potentilla (Fingerkraut),Prunus-Typ (Steinobst),Pulmonaria (Lungenkraut),Resedaceae (Reseden),Rhus (Essigbaum),Robinia (Scheinakazie),Rosa* (Rose),Rosaceae (Rosengewächse),Rumex* (Ampfer),Sambucus* (Holunder),Sanguisorba off.* (Wiesenknopf),Sapindaceae (Seifenbaumgewächse),Scrophulariaceae (Braunwurzgewächse),Sinapis-Typ (Senf-Typ),Solanaceae (Nachtschattengewächse),Symphoricarpus (Schneebeere),Symphytum (Beinwell),Taraxacum-Typ (Löwenzahn-Typ),Tilia (Linde),Trifolium pratense (Rotklee),Trifolium repens (Weißklee),Trifolium-Typ (Klee-Typ),Tropaeolaceae (Kapuzinerkressen),unbekannt,Verbascum (Königskerze),Zea mays* (Mais),zz,PR_Beurteilung
Oc 3_25-08-2022,Probennummer 21,2022-09-19_13-29-16_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022792,,,,,,,,,,,,,"0,8",,,,,,,,,,,,X,,,"94,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,8",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Oc 2_08-09-2022,Probennummer 22,2022-09-19_13-41-05_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022793,,"0,2",,,,,,,,,,,"7,2",,,,,,,,,,,,,,,"2,2",,,,,,,,,,,,,,,,,,,,"83,2",,,,,,,,,,,,,,,,"5,6",,,,,,,,,,,,,,,,,,,"1,6",,,,,,,,,,
Oc 3_08-09-2022,Probennummer 23,2022-09-19_13-44-46_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022794,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,"29,8",,,,,,,,,,,,,,,,"31,8",,,,,,,,,,,,,,,"15,4",,,,,,,,,,,,,,"
ein hoher Eintrag von Ruß und unbekannten Bestandteilen (braune Partikel).
Alle Pollen die im Sediment enthalten sind, sind aufgeplatzt (Pollenhüllen)"
Oc 0/4_08-09-2022,Probennummer 24,2022-09-19_13-36-17_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022795,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,4",,,,,,,,,,,,,,,,,,,,"48,6",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"einige große Pollenhüllen im Sediment, nicht bestimmbar."
Oc 1_29-09-2022,Probennummer 25,2022-10-04_13-43-22_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022796,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oc 2_29-09-2022,Probennummer 26,2022-10-04_13-48-14_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022797,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,"1,6",,,,,,,,,,,,,,,X,,,,"0,4",,,,,,,,,,
Oc 3_29-09-2022,Probennummer 27,2022-10-04_13-59-33_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,6",,,,,,,,,,,,,,,,"0,4",,,,,,,,,X,,,,,,4,,,,,,,,,,,,,,
Weingarten_21-07-2022,Probennummer 28,2022-09-19_10-09-01_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022799,,,,,"0,8",,,,,,"0,2",,,,,,,,"26,2",,,"0,6",,,"0,6",,,,,,,,,,,,,,,,,,,,"2,4",,,,X,,,,,"0,4",,,,,,,"57,6",,,"4,2",,,,,,,,,,,,,,,,,,,"0,4",,,,"1,2",,"1,6",,"3,2",,"1,6% unbekannt"
Weingarten_28-07-2022,Probennummer 29,2022-09-19_10-14-35_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022800,,,,,"3,4",3,,,,,,"5,4","0,8","9,4",,,,,"38,6",,,1,"0,2",,"0,2",,,,,,,X,,,,,,,,,,,,,"2,4",,,,,"0,8",,,,X,,,,,X,,23,,,"2,6",,,,,,,,,,,,,,,,,,,3,,,,"0,4",,"3,6",,"2,2",,
Weingarten_11-08-2022,Probennummer 30,2022-09-19_10-19-52_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022801,,,,,"1,2",4,,"21,4",,,,"3,6",X,"2,4",,,,X,,,,1,,,,,,"0,4",,,,X,,"0,8",,,,,X,,,,,,,,,,,,,,,,,,,,X,,"0,4",,,"29,4",,,,,,,,,,,,,,,,,,,"34,2",,,,,,"1,2",,,,wenige Brandsporen
Weingarten_25-08-2022,Probennummer 31,2022-09-19_10-22-50_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022802,,,,,"7,8",,,X,,,"2,6",,,X,,,,,,X,,X,,,X,,,"19,8",,,,"0,2",,X,X,X,,,X,3,,,,,,,,X,,"0,2",,,X,,,X,,,,,"2,4",,,"26,4",,,,,,,,,,,,,,,"6,4",,,,"29,8",,,,X,,"1,6",,X,,
Weingarten_08-09-2022,Probennummer 32,2022-09-19_10-26-20_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022803,,,,,1,,,,,,,4,,,,,,,,,,X,,,,,,"24,8",,,,,,,,,,,,X,,14,,,,,,"35,6",,"0,2",,,X,,,,,,,,,,,9,,,,,,,,,,,,,,,2,"1,2",,,"7,6",,,,,,,,,,
